
State,City,Suburb,DistanceToAvalon,DistanceToTullamarine,Attractions
Victoria,Geelong, Belmont,27,77,"Belmont Common, local parks, Geelong Botanic Gardens"
Victoria,Geelong,Aberfeldie,40,50,"Aberfeldie Park, Maribyrnong River"
Victoria,Geelong,Aireys Inlet,60,130,"Aireys Inlet Lighthouse, Great Ocean Road, beaches"
Victoria,Geelong,Aireys Inlet,75,125,"Split Point Lighthouse, Aireys Inlet Beach, coastal walks"
Victoria,Geelong,Albert Park,130,155,"Albert Park Lake, local cafes"
Victoria,Geelong,Albert Park,270,300,"Albert Park Lake, local parks"
Victoria,Geelong,Albion,30,45,"Ardeer Reserve, Kororoit Creek"
Victoria,Geelong,Alfredton,60,110,"Ballarat Wildlife Park, Lake Wendouree"
Victoria,Geelong,Alpine,350,420,"Alpine Valley, local parks"
Victoria,Geelong,Altona Meadows,30,45,"Truganina Park, Altona Meadows Shopping Centre"
Victoria,Geelong,Altona Meadows,50,90,"Altona Meadows Reserve, local shopping centers, parks"
Victoria,Geelong,Altona North,45,55,"Altona Gate Shopping Centre, local parks"
Victoria,Geelong,Altona,220,250,"Altona Beach, Altona Meadows"
Victoria,Geelong,Altona,35,50,"Altona Beach, Altona Coastal Park"
Victoria,Geelong,Altona,45,60,"Altona Beach, local parks, Altona Pier"
Victoria,Geelong,Anakie,15,70,"Anakie Gorge, local parks, You Yangs Regional Park"
Victoria,Geelong,Anakie,20,45,"You Yangs Regional Park, Anakie Gorge"
Victoria,Geelong,Anakie,30,90,"Anakie Gorge, You Yangs Regional Park, local wildlife"
Victoria,Geelong,Anderson,45,95,"Wilson’s Promontory National Park"
Victoria,Geelong,Angelsea,75,140,"Angelsea Beach, local cafes, coastal parks"
Victoria,Geelong,Anglesea,50,115,"Anglesea Beach, Great Ocean Road, Anglesea Golf Club"
Victoria,Geelong,Anglesea,65,115,"Anglesea Beach, Great Ocean Road, local surf spots"
Victoria,Geelong,Anglesea,65,125,"Anglesea Beach, local parks, Great Ocean Road walks"
Victoria,Geelong,Anglesea,90,155,"Anglesea Beach, Great Ocean Road, Lorne"
Victoria,Geelong,Ardeer,25,40,"Ardeer Reserve, Kororoit Creek"
Victoria,Geelong,Armadale,120,140,"Armadale Shopping Centre, local parks"
Victoria,Geelong,Armadale,270,300,"Armadale Shopping Centre, local parks"
Victoria,Geelong,Armadale,75,85,"High Street Armadale, Central Park"
Victoria,Geelong,Armstrong Creek,17,60,"Armstrong Creek Shopping Centre, local parks, residential area"
Victoria,Geelong,Armstrong Creek,18,75,"Armstrong Creek Park, local schools, residential area"
Victoria,Geelong,Armstrong Creek,22,82,"Armstrong Creek Reserve, new development, local parks"
Victoria,Geelong,Armstrong Creek,29,89,"Armstrong Creek Town Centre, local parks, family-friendly amenities"
Victoria,Geelong,Ascot Vale,60,70,"Union Road Shopping, Ascot Vale Leisure Centre"
Victoria,Geelong,Avondale Heights,55,70,"Avondale Heights Reserve, Maribyrnong River"
Victoria,Geelong,Avondale Heights,75,80,"Avondale Heights Reserve, local parks"
Victoria,Geelong,Bacchus Marsh,35,55,"Bacchus Marsh Avenue of Honour, Lerderderg Gorge"
